country,total cases,new cases,total death
USA,"104,803,151",,"1,140,401                                "
India,"44,684,274",,"530,753                                "
France,"39,570,475",,"164,622                                "
Germany,"37,949,446",,"166,999                                "
Brazil,"36,953,492",,"697,762                                "
Japan,"32,990,844",,"70,923                                "
S. Korea,"30,384,701","+14,957","33,782                                "
Italy,"25,519,067",,"187,551                                "
UK,"24,315,983",,"205,540                                "
Russia,"22,093,549",,"395,616                                "
Turkey,"17,042,722",,"101,492                                "
Spain,"13,748,918",,"118,976                                "
Vietnam,"11,526,754",,"43,186                                "
Australia,"11,330,342",,"19,070                                "
Argentina,"10,042,136",,"130,448                                "
Taiwan,"9,842,257",,"17,193                                "
Netherlands,"8,587,919",,"22,992                                "
Iran,"7,565,865",,"144,788                                "
Mexico,"7,410,093",,"332,653                                "
Indonesia,"6,733,215",,"160,873                                "
Poland,"6,392,257",,"118,785                                "
Colombia,"6,358,068",,"142,576                                "
Austria,"5,837,337",,"21,795                                "
Greece,"5,831,467",,"35,957                                "
Portugal,"5,566,314",,"26,103                                "
Ukraine,"5,376,812",,"111,131                                "
Chile,"5,140,809",,"64,015                                "
Malaysia,"5,039,850",,"36,953                                "
Israel,"4,792,175",,"12,242                                "
DPRK,"4,772,813",,74                                
Thailand,"4,727,628",,"33,894                                "
Belgium,"4,700,949",,"33,616                                "
Czechia,"4,596,830",,"42,358                                "
Canada,"4,571,053",,"50,863                                "
Peru,"4,483,729",,"219,269                                "
Switzerland,"4,408,833",,"14,452                                "
Philippines,"4,074,821",,"65,968                                "
South Africa,"4,059,348",,"102,595                                "
Romania,"3,331,005",,"67,650                                "
Denmark,"3,174,267",,"8,209                                "
Hong Kong,"2,881,389",,"13,425                                "
Sweden,"2,696,168",,"23,534                                "
Serbia,"2,481,396",,"17,744                                "
Iraq,"2,465,545",,"25,375                                "
Singapore,"2,222,006",,"1,722                                "
New Zealand,"2,199,579",,"3,839                                "
Hungary,"2,193,272",,"48,707                                "
Bangladesh,"2,037,703",,"29,445                                "
Slovakia,"1,861,704",,"20,986                                "
Georgia,"1,818,861",,"16,941                                "
Jordan,"1,746,997",,"14,122                                "
Ireland,"1,701,617",,"8,602                                "
Pakistan,"1,576,573",+21,"30,640                                "
Norway,"1,478,434",,"5,112                                "
Finland,"1,460,857",,"8,821                                "
Kazakhstan,"1,406,778",,"13,695                                "
Slovenia,"1,324,306",,"7,064                                "
Lithuania,"1,300,592",,"9,561                                "
Bulgaria,"1,296,009",,"38,198                                "
Morocco,"1,272,344",,"16,296                                "
Croatia,"1,268,287",,"17,932                                "
Guatemala,"1,232,417",,"20,152                                "
Lebanon,"1,230,268",,"10,805                                "
Costa Rica,"1,194,584",,"9,195                                "
Bolivia,"1,191,342",,"22,355                                "
Tunisia,"1,150,606",,"29,326                                "
Cuba,"1,112,525",,"8,530                                "
Ecuador,"1,056,578",,"36,008                                "
UAE,"1,050,549",,"2,348                                "
Uruguay,"1,033,766",,"7,617                                "
Panama,"1,030,658",,"8,600                                "
Mongolia,"1,007,890",,"2,179                                "
Nepal,"1,001,118",,"12,020                                "
Belarus,"994,037",,"7,118                                "
Latvia,"975,683",,"6,226                                "
Saudi Arabia,"828,662",,"9,595                                "
Azerbaijan,"828,251",,"10,099                                "
Paraguay,"806,790",,"19,843                                "
Bahrain,"700,835",,"1,544                                "
Sri Lanka,"672,015",,"16,829                                "
Kuwait,"662,858",,"2,570                                "
Dominican Republic,"660,485",,"4,384                                "
Cyprus,"645,515",,"1,293                                "
Myanmar,"633,870",,"19,490                                "
Palestine,"621,008",,"5,404                                "
Estonia,"614,526",,"2,926                                "
Moldova,"600,916",,"11,964                                "
Venezuela,"551,804",,"5,851                                "
Egypt,"515,698",,"24,613                                "
Libya,"507,170",,"6,437                                "
Ethiopia,"499,794",,"7,572                                "
Qatar,"492,966",,686                                
Réunion,"486,588",,921                                
Honduras,"470,940",,"11,104                                "
Armenia,"446,332",,"8,719                                "
Bosnia and Herzegovina,"401,499",,"16,265                                "
Oman,"399,449",,"4,628                                "
North Macedonia,"346,733",,"9,653                                "
Kenya,"342,849",,"5,688                                "
Zambia,"342,317",,"4,051                                "
Albania,"334,264",,"3,595                                "
Botswana,"329,595",,"2,801                                "
Luxembourg,"297,757",,"1,133                                "
Montenegro,"287,070",,"2,799                                "
Brunei ,"276,825",,225                                
Algeria,"271,409",,"6,881                                "
Nigeria,"266,463",,"3,155                                "
Zimbabwe,"263,083",,"5,659                                "
Uzbekistan,"250,799",,"1,637                                "
Mozambique,"232,819",,"2,237                                "
Martinique,"229,807",,"1,098                                "
Laos,"218,001",+1,758                                
Afghanistan,"209,036",,"7,896                                "
Iceland,"208,921",,229                                
Kyrgyzstan,"206,611",,"2,991                                "
El Salvador,"201,785",,"4,230                                "
Guadeloupe,"201,704",,"1,010                                "
Trinidad and Tobago,"188,511",,"4,336                                "
Maldives,"185,723",,311                                
Ghana,"171,152",,"1,462                                "
Namibia,"171,059",,"4,090                                "
Uganda,"170,464",,"3,630                                "
Jamaica,"154,065",,"3,500                                "
Cambodia,"138,705",,"3,056                                "
Rwanda,"133,148",,"1,468                                "
Cameroon,"123,993",,"1,965                                "
Malta,"117,248",,826                                
Barbados,"106,434",,573                                
Angola,"105,184",,"1,931                                "
Channel Islands,"101,258",,227                                
French Guiana,"98,041",,420                                
DRC,"95,646",,"1,464                                "
Senegal,"88,906",,"1,971                                "
Malawi,"88,600",,"2,686                                "
Ivory Coast,"88,078",,834                                
Suriname,"82,227",,"1,400                                "
New Caledonia,"79,845",,314                                
French Polynesia,"77,957",,649                                
Eswatini,"74,158",,"1,423                                "
Guyana,"73,052",,"1,298                                "
Belize,"70,721",,688                                
Fiji,"68,864",,883                                
Madagascar,"67,849",,"1,421                                "
Sudan,"63,775",,"5,011                                "
Mauritania,"63,667",,997                                
Cabo Verde,"63,237",,413                                
Bhutan,"62,611",,21                                
Syria,"57,461",,"3,164                                "
Burundi,"53,574",,38                                
Seychelles,"50,665",,172                                
Gabon,"48,981",,306                                
Andorra,"47,860",,165                                
Papua New Guinea,"46,792",,670                                
Curaçao,"45,986",,295                                
Aruba,"44,026",,236                                
Tanzania,"42,717",,846                                
Mayotte,"42,004",,188                                
Mauritius,"41,677",,"1,043                                "
Togo,"39,362",,290                                
Guinea,"38,240",,467                                
Isle of Man,"38,008",,116                                
Bahamas,"37,491",,833                                
Lesotho,"34,790",,723                                
Faeroe Islands,"34,658",,28                                
Haiti,"34,076",,860                                
Mali,"32,843",,743                                
Cayman Islands,"31,472",,37                                
Saint Lucia,"29,882",,409                                
Benin,"27,990",,163                                
Somalia,"27,324",,"1,361                                "
Congo,"25,375",,386                                
Solomon Islands,"24,575",,153                                
Micronesia,"23,671",,60                                
San Marino,"23,427",,122                                
Timor-Leste,"23,417",,138                                
Burkina Faso,"22,056",,396                                
Liechtenstein,"21,374",,89                                
Gibraltar,"20,414",,111                                
Grenada,"19,680",,238                                
Bermuda,"18,785",,158                                
Nicaragua,"18,491",,225                                
South Sudan,"18,368",,138                                
Tajikistan,"17,786",,125                                
Equatorial Guinea,"17,212",,183                                
Tonga,"16,795",,13                                
Samoa,"16,402",,29                                
Monaco,"16,103",,67                                
Dominica,"15,760",,74                                
Djibouti,"15,690",,189                                
Marshall Islands,"15,590",,17                                
CAR,"15,368",,113                                
Gambia,"12,586",,372                                
Saint Martin,"12,247",,63                                
Vanuatu,"12,014",,14                                
Greenland,"11,971",,21                                
Yemen,"11,945",,"2,159                                "
Caribbean Netherlands,"11,666",,38                                
Sint Maarten,"11,016",,91                                
Eritrea,"10,189",,103                                
Niger,"9,931",,312                                
St. Vincent Grenadines,"9,589",,123                                
Antigua and Barbuda,"9,106",,146                                
Comoros,"8,992",,161                                
Guinea-Bissau,"8,953",,176                                
Liberia,"8,065",,294                                
Sierra Leone,"7,760",,126                                
Chad,"7,661",,194                                
British Virgin Islands,"7,305",,64                                
Cook Islands,"7,022",,2                                
Saint Kitts and Nevis,"6,595",,46                                
Turks and Caicos,"6,537",,38                                
Sao Tome and Principe,"6,280",,77                                
Palau,"5,988",,9                                
St. Barth,"5,431",,6                                
Kiribati,"5,012",,18                                
Nauru,"4,815",,1                                
Anguilla,"3,904",,12                                
Macao,"3,507",,121                                
Saint Pierre Miquelon,"3,452",,2                                
Wallis and Futuna,"3,427",,7                                
Tuvalu,"2,805",, 
Saint Helena,"2,166",, 
Falkland Islands,"1,930",, 
Montserrat,"1,403",,8                                
Niue,749,, 
Diamond Princess,712,,13                                
Vatican City,29,, 
Western Sahara,10,,1                                
MS Zaandam,9,,2                                
Tokelau,5,, 
China,"503,302",,"5,272                                "
